,Customer_ID,Treated,Order_Amt
0,1,1.0,73.75
1,1,1.0,79.9
2,1,1.0,64.85
3,1,1.0,73.36
4,1,1.0,79.46
5,2,0.0,62.45
6,2,0.0,60.31
7,2,0.0,62.51
8,2,0.0,67.07
9,2,0.0,54.98
10,2,0.0,63.28
11,2,0.0,68.59
12,2,0.0,63.48
13,2,0.0,52.62
14,2,0.0,61.78
15,2,0.0,54.5
16,3,0.0,75.5
17,3,0.0,65.09
18,4,1.0,104.5
19,4,1.0,86.07
20,4,1.0,87.53
21,4,1.0,97.45
22,4,1.0,116.55
23,4,1.0,89.8
24,4,1.0,91.37
25,4,1.0,99.9
26,4,1.0,92.98
27,4,1.0,95.89
28,4,1.0,122.34
29,4,1.0,120.96
30,5,1.0,73.52
31,5,1.0,73.04
32,5,1.0,77.75
33,5,1.0,83.78
34,5,1.0,70.98
35,5,1.0,80.89
36,5,1.0,76.48
37,5,1.0,67.71
38,5,1.0,88.97
39,5,1.0,78.61
40,5,1.0,83.91
41,5,1.0,66.57
42,5,1.0,80.23
43,5,1.0,78.62
44,5,1.0,77.11
45,5,1.0,79.04
46,5,1.0,67.4
47,5,1.0,84.11
48,5,1.0,63.57
49,5,1.0,83.35
50,6,1.0,119.74
51,6,1.0,122.09
52,6,1.0,99.41
53,6,1.0,107.73
54,6,1.0,108.42
55,6,1.0,104.15
56,6,1.0,126.89
57,6,1.0,111.06
58,6,1.0,107.85
59,6,1.0,116.16
60,6,1.0,110.13
61,6,1.0,132.32
62,6,1.0,129.04
63,6,1.0,123.44
64,6,1.0,126.69
65,6,1.0,118.51
66,6,1.0,128.23
67,6,1.0,116.61
68,6,1.0,140.81
69,6,1.0,118.51
70,6,1.0,110.25
71,6,1.0,125.49
72,6,1.0,122.03
73,6,1.0,144.19
74,6,1.0,143.13
75,6,1.0,127.52
76,6,1.0,128.65
77,6,1.0,127.03
78,6,1.0,121.56
79,6,1.0,137.7
80,6,1.0,138.57
81,6,1.0,123.43
82,7,1.0,126.2
83,8,1.0,67.17
84,8,1.0,64.01
85,8,1.0,66.28
86,8,1.0,74.09
87,8,1.0,68.66
88,8,1.0,69.68
89,8,1.0,69.48
90,8,1.0,60.33
91,8,1.0,65.24
92,8,1.0,68.97
93,8,1.0,79.01
94,8,1.0,69.39
95,8,1.0,64.03
96,8,1.0,66.82
97,8,1.0,70.8
98,8,1.0,64.14
99,8,1.0,66.76
100,8,1.0,61.15
101,8,1.0,70.03
102,8,1.0,65.44
103,8,1.0,59.83
104,8,1.0,66.85
105,8,1.0,72.39
106,8,1.0,70.31
107,8,1.0,70.1
108,8,1.0,68.21
109,8,1.0,71.14
110,8,1.0,67.45
111,8,1.0,66.12
112,8,1.0,74.26
113,9,1.0,157.67
114,9,1.0,137.41
115,9,1.0,159.68
116,9,1.0,152.07
117,9,1.0,149.66
118,9,1.0,165.31
119,9,1.0,147.7
120,10,0.0,140.93
121,10,0.0,104.79
122,10,0.0,100.66
123,11,0.0,83.47
124,11,0.0,88.47
125,11,0.0,90.48
126,12,1.0,75.19
127,12,1.0,75.57
128,12,1.0,92.2
129,12,1.0,95.49
130,12,1.0,86.19
131,12,1.0,86.21
132,12,1.0,83.47
133,12,1.0,82.5
134,12,1.0,75.16
135,13,1.0,129.46
136,13,1.0,132.19
137,13,1.0,121.94
138,13,1.0,132.71
139,13,1.0,136.39
140,13,1.0,138.54
141,13,1.0,127.29
142,14,0.0,78.54
143,14,0.0,88.07
144,14,0.0,95.03
145,14,0.0,83.76
146,14,0.0,90.83
147,14,0.0,99.44
148,14,0.0,78.42
149,14,0.0,91.25
150,14,0.0,98.67
151,14,0.0,93.32
152,14,0.0,103.6
153,14,0.0,94.29
154,14,0.0,75.78
155,14,0.0,87.01
156,14,0.0,84.3
157,14,0.0,94.19
158,14,0.0,73.03
159,14,0.0,78.98
160,14,0.0,95.6
161,14,0.0,100.85
162,14,0.0,94.62
163,14,0.0,95.81
164,14,0.0,92.96
165,14,0.0,86.78
166,14,0.0,73.26
167,14,0.0,90.86
168,15,1.0,96.46
169,15,1.0,118.95
170,15,1.0,97.41
171,15,1.0,129.67
172,15,1.0,112.53
173,15,1.0,131.79
174,15,1.0,118.9
175,15,1.0,129.73
176,15,1.0,114.57
177,15,1.0,111.28
178,15,1.0,107.15
179,15,1.0,116.44
180,15,1.0,114.54
181,15,1.0,128.75
182,15,1.0,107.6
183,15,1.0,141.47
184,16,0.0,60.87
185,16,0.0,64.63
186,16,0.0,72.62
187,16,0.0,67.83
188,16,0.0,67.49
189,16,0.0,65.52
190,16,0.0,63.37
191,16,0.0,54.57
192,16,0.0,67.58
193,16,0.0,73.11
194,16,0.0,55.21
195,16,0.0,74.3
196,16,0.0,56.45
197,16,0.0,54.46
198,16,0.0,56.71
199,16,0.0,60.64
200,16,0.0,61.64
201,17,0.0,97.02
202,17,0.0,95.22
203,17,0.0,85.64
204,17,0.0,105.67
205,18,0.0,79.09
206,18,0.0,83.76
207,18,0.0,84.44
208,18,0.0,82.24
209,18,0.0,76.35
