,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.814,-0.013999999999999901,0.013999999999999901,200,1500
1,0.8,0.86,-0.05999999999999994,0.05999999999999994,200,1500
2,0.8,0.852,-0.051999999999999935,0.051999999999999935,200,1500
3,0.8,0.856,-0.05599999999999994,0.05599999999999994,200,1500
4,0.8,0.922,-0.122,0.122,200,1500
5,0.8,0.802,-0.0020000000000000018,0.0020000000000000018,200,1500
6,0.8,0.834,-0.03399999999999992,0.03399999999999992,200,1500
7,0.8,0.726,0.07400000000000007,0.07400000000000007,200,1500
8,0.8,0.76,0.040000000000000036,0.040000000000000036,200,1500
9,0.8,0.81,-0.010000000000000009,0.010000000000000009,200,1500
10,0.8,0.86,-0.05999999999999994,0.05999999999999994,200,1500
11,0.8,0.75,0.050000000000000044,0.050000000000000044,200,1500
12,0.8,0.946,-0.1459999999999999,0.1459999999999999,200,1500
13,0.8,0.868,-0.06799999999999995,0.06799999999999995,200,1500
14,0.8,0.842,-0.041999999999999926,0.041999999999999926,200,1500
15,0.8,0.9,-0.09999999999999998,0.09999999999999998,200,1500
16,0.8,0.846,-0.04599999999999993,0.04599999999999993,200,1500
17,0.8,0.842,-0.041999999999999926,0.041999999999999926,200,1500
18,0.8,0.82,-0.019999999999999907,0.019999999999999907,200,1500
19,0.8,0.796,0.0040000000000000036,0.0040000000000000036,200,1500
20,0.8,0.87,-0.06999999999999995,0.06999999999999995,200,1500
21,0.8,0.88,-0.07999999999999996,0.07999999999999996,200,1500
22,0.8,0.772,0.028000000000000025,0.028000000000000025,200,1500
23,0.8,0.87,-0.06999999999999995,0.06999999999999995,200,1500
24,0.8,0.762,0.038000000000000034,0.038000000000000034,200,1500
25,0.8,0.83,-0.029999999999999916,0.029999999999999916,200,1500
26,0.8,0.768,0.03200000000000003,0.03200000000000003,200,1500
27,0.8,0.848,-0.04799999999999993,0.04799999999999993,200,1500
28,0.8,0.806,-0.006000000000000005,0.006000000000000005,200,1500
29,0.8,0.88,-0.07999999999999996,0.07999999999999996,200,1500
