,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.85,-0.04999999999999993,0.04999999999999993,100,1700
1,0.8,0.816,-0.015999999999999903,0.015999999999999903,100,1700
2,0.8,0.888,-0.08799999999999997,0.08799999999999997,100,1700
3,0.8,0.79,0.010000000000000009,0.010000000000000009,100,1700
4,0.8,0.834,-0.03399999999999992,0.03399999999999992,100,1700
5,0.8,0.792,0.008000000000000007,0.008000000000000007,100,1700
6,0.8,0.908,-0.10799999999999998,0.10799999999999998,100,1700
7,0.8,0.814,-0.013999999999999901,0.013999999999999901,100,1700
8,0.8,0.842,-0.041999999999999926,0.041999999999999926,100,1700
9,0.8,0.838,-0.03799999999999992,0.03799999999999992,100,1700
10,0.8,0.786,0.014000000000000012,0.014000000000000012,100,1700
11,0.8,0.842,-0.041999999999999926,0.041999999999999926,100,1700
12,0.8,0.772,0.028000000000000025,0.028000000000000025,100,1700
13,0.8,0.846,-0.04599999999999993,0.04599999999999993,100,1700
14,0.8,0.93,-0.13,0.13,100,1700
15,0.8,0.862,-0.061999999999999944,0.061999999999999944,100,1700
16,0.8,0.858,-0.05799999999999994,0.05799999999999994,100,1700
17,0.8,0.828,-0.027999999999999914,0.027999999999999914,100,1700
18,0.8,0.904,-0.10399999999999998,0.10399999999999998,100,1700
19,0.8,0.8,0.0,0.0,100,1700
20,0.8,0.8,0.0,0.0,100,1700
21,0.8,0.856,-0.05599999999999994,0.05599999999999994,100,1700
22,0.8,0.876,-0.07599999999999996,0.07599999999999996,100,1700
23,0.8,0.852,-0.051999999999999935,0.051999999999999935,100,1700
24,0.8,0.898,-0.09799999999999998,0.09799999999999998,100,1700
25,0.8,0.79,0.010000000000000009,0.010000000000000009,100,1700
26,0.8,0.922,-0.122,0.122,100,1700
27,0.8,0.898,-0.09799999999999998,0.09799999999999998,100,1700
28,0.8,0.824,-0.02399999999999991,0.02399999999999991,100,1700
29,0.8,0.856,-0.05599999999999994,0.05599999999999994,100,1700
