,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.822,-0.02199999999999991,0.02199999999999991,200,1900
1,0.8,0.846,-0.04599999999999993,0.04599999999999993,200,1900
2,0.8,0.792,0.008000000000000007,0.008000000000000007,200,1900
3,0.8,0.84,-0.039999999999999925,0.039999999999999925,200,1900
4,0.8,0.812,-0.01200000000000001,0.01200000000000001,200,1900
5,0.8,0.856,-0.05599999999999994,0.05599999999999994,200,1900
6,0.8,0.91,-0.10999999999999999,0.10999999999999999,200,1900
7,0.8,0.858,-0.05799999999999994,0.05799999999999994,200,1900
8,0.8,0.89,-0.08999999999999997,0.08999999999999997,200,1900
9,0.8,0.786,0.014000000000000012,0.014000000000000012,200,1900
10,0.8,0.866,-0.06599999999999995,0.06599999999999995,200,1900
11,0.8,0.838,-0.03799999999999992,0.03799999999999992,200,1900
12,0.8,0.844,-0.04399999999999993,0.04399999999999993,200,1900
13,0.8,0.884,-0.08399999999999996,0.08399999999999996,200,1900
14,0.8,0.87,-0.06999999999999995,0.06999999999999995,200,1900
15,0.8,0.838,-0.03799999999999992,0.03799999999999992,200,1900
16,0.8,0.844,-0.04399999999999993,0.04399999999999993,200,1900
17,0.8,0.864,-0.06399999999999995,0.06399999999999995,200,1900
18,0.8,0.766,0.03400000000000003,0.03400000000000003,200,1900
19,0.8,0.898,-0.09799999999999998,0.09799999999999998,200,1900
20,0.8,0.832,-0.03199999999999992,0.03199999999999992,200,1900
21,0.8,0.822,-0.02199999999999991,0.02199999999999991,200,1900
22,0.8,0.78,0.020000000000000018,0.020000000000000018,200,1900
23,0.8,0.866,-0.06599999999999995,0.06599999999999995,200,1900
24,0.8,0.776,0.02400000000000002,0.02400000000000002,200,1900
25,0.8,0.856,-0.05599999999999994,0.05599999999999994,200,1900
26,0.8,0.866,-0.06599999999999995,0.06599999999999995,200,1900
27,0.8,0.858,-0.05799999999999994,0.05799999999999994,200,1900
28,0.8,0.866,-0.06599999999999995,0.06599999999999995,200,1900
29,0.8,0.788,0.01200000000000001,0.01200000000000001,200,1900
