,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.786,0.014000000000000012,0.014000000000000012,200,1100
1,0.8,0.964,-0.16399999999999992,0.16399999999999992,200,1100
2,0.8,0.786,0.014000000000000012,0.014000000000000012,200,1100
3,0.8,0.814,-0.013999999999999901,0.013999999999999901,200,1100
4,0.8,0.78,0.020000000000000018,0.020000000000000018,200,1100
5,0.8,0.818,-0.017999999999999905,0.017999999999999905,200,1100
6,0.8,0.998,-0.19799999999999995,0.19799999999999995,200,1100
7,0.8,0.766,0.03400000000000003,0.03400000000000003,200,1100
8,0.8,0.92,-0.12,0.12,200,1100
9,0.8,0.96,-0.15999999999999992,0.15999999999999992,200,1100
10,0.8,0.866,-0.06599999999999995,0.06599999999999995,200,1100
11,0.8,0.86,-0.05999999999999994,0.05999999999999994,200,1100
12,0.8,0.792,0.008000000000000007,0.008000000000000007,200,1100
13,0.8,0.762,0.038000000000000034,0.038000000000000034,200,1100
14,0.8,0.816,-0.015999999999999903,0.015999999999999903,200,1100
15,0.8,0.772,0.028000000000000025,0.028000000000000025,200,1100
16,0.8,0.85,-0.04999999999999993,0.04999999999999993,200,1100
17,0.8,0.96,-0.15999999999999992,0.15999999999999992,200,1100
18,0.8,0.918,-0.118,0.118,200,1100
19,0.8,0.782,0.018000000000000016,0.018000000000000016,200,1100
20,0.8,0.932,-0.132,0.132,200,1100
21,0.8,0.896,-0.09599999999999997,0.09599999999999997,200,1100
22,0.8,0.868,-0.06799999999999995,0.06799999999999995,200,1100
23,0.8,0.788,0.01200000000000001,0.01200000000000001,200,1100
24,0.8,0.786,0.014000000000000012,0.014000000000000012,200,1100
25,0.8,0.8,0.0,0.0,200,1100
26,0.8,0.804,-0.0040000000000000036,0.0040000000000000036,200,1100
27,0.8,0.836,-0.03599999999999992,0.03599999999999992,200,1100
28,0.8,0.846,-0.04599999999999993,0.04599999999999993,200,1100
29,0.8,0.766,0.03400000000000003,0.03400000000000003,200,1100
