,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.818,-0.017999999999999905,0.017999999999999905,300,2000
1,0.8,0.79,0.010000000000000009,0.010000000000000009,300,2000
2,0.8,0.844,-0.04399999999999993,0.04399999999999993,300,2000
3,0.8,0.842,-0.041999999999999926,0.041999999999999926,300,2000
4,0.8,0.87,-0.06999999999999995,0.06999999999999995,300,2000
5,0.8,0.774,0.026000000000000023,0.026000000000000023,300,2000
6,0.8,0.83,-0.029999999999999916,0.029999999999999916,300,2000
7,0.8,0.81,-0.010000000000000009,0.010000000000000009,300,2000
8,0.8,0.838,-0.03799999999999992,0.03799999999999992,300,2000
9,0.8,0.784,0.016000000000000014,0.016000000000000014,300,2000
10,0.8,0.854,-0.05399999999999994,0.05399999999999994,300,2000
11,0.8,0.82,-0.019999999999999907,0.019999999999999907,300,2000
12,0.8,0.836,-0.03599999999999992,0.03599999999999992,300,2000
13,0.8,0.844,-0.04399999999999993,0.04399999999999993,300,2000
14,0.8,0.82,-0.019999999999999907,0.019999999999999907,300,2000
15,0.8,0.834,-0.03399999999999992,0.03399999999999992,300,2000
16,0.8,0.75,0.050000000000000044,0.050000000000000044,300,2000
17,0.8,0.79,0.010000000000000009,0.010000000000000009,300,2000
18,0.8,0.87,-0.06999999999999995,0.06999999999999995,300,2000
19,0.8,0.816,-0.015999999999999903,0.015999999999999903,300,2000
20,0.8,0.906,-0.10599999999999998,0.10599999999999998,300,2000
21,0.8,0.824,-0.02399999999999991,0.02399999999999991,300,2000
22,0.8,0.856,-0.05599999999999994,0.05599999999999994,300,2000
23,0.8,0.828,-0.027999999999999914,0.027999999999999914,300,2000
24,0.8,0.846,-0.04599999999999993,0.04599999999999993,300,2000
25,0.8,0.83,-0.029999999999999916,0.029999999999999916,300,2000
26,0.8,0.794,0.006000000000000005,0.006000000000000005,300,2000
27,0.8,0.89,-0.08999999999999997,0.08999999999999997,300,2000
28,0.8,0.784,0.016000000000000014,0.016000000000000014,300,2000
29,0.8,0.804,-0.0040000000000000036,0.0040000000000000036,300,2000
