,Desired Power,Actual Power,Error,Absolute Error,Iterations,Total Iterations
0,0.8,0.798,0.002,0.002,100,1000
1,0.8,0.746,0.054,0.054,100,1000
2,0.8,0.906,-0.106,0.106,100,1000
3,0.8,0.92,-0.12,0.12,100,1000
4,0.8,0.796,0.004,0.004,100,1000
5,0.8,0.844,-0.044,0.044,100,1000
6,0.8,0.79,0.01,0.01,100,1000
7,0.8,0.872,-0.072,0.072,100,1000
8,0.8,0.884,-0.084,0.084,100,1000
9,0.8,0.862,-0.062,0.062,100,1000
10,0.8,0.88,-0.08,0.08,100,1000
11,0.8,0.756,0.044,0.044,100,1000
12,0.8,0.812,-0.012,0.012,100,1000
13,0.8,0.89,-0.09,0.09,100,1000
14,0.8,0.704,0.096,0.096,100,1000
15,0.8,0.9,-0.1,0.1,100,1000
16,0.8,0.872,-0.072,0.072,100,1000
17,0.8,0.868,-0.068,0.068,100,1000
18,0.8,0.814,-0.014,0.014,100,1000
19,0.8,0.824,-0.024,0.024,100,1000
20,0.8,0.926,-0.126,0.126,100,1000
21,0.8,0.864,-0.064,0.064,100,1000
22,0.8,0.926,-0.126,0.126,100,1000
23,0.8,0.856,-0.056,0.056,100,1000
24,0.8,0.84,-0.04,0.04,100,1000
25,0.8,0.872,-0.072,0.072,100,1000
26,0.8,0.824,-0.024,0.024,100,1000
27,0.8,0.956,-0.156,0.156,100,1000
28,0.8,0.822,-0.022,0.022,100,1000
29,0.8,0.832,-0.032,0.032,100,1000
